CASEID,YEAR,ID,AGE,SEX,RACECEN1,HISPANIC,EDUC,MARHOMO
59985,2016,386,56,2,2,1,16,4
59986,2016,387,71,2,2,1,16,3
59987,2016,388,29,2,2,1,16,0
59988,2016,389,74,2,1,1,16,5
59989,2016,390,30,2,2,1,18,0
59990,2016,391,65,2,2,1,16,4
59991,2016,392,41,2,2,1,12,1
59992,2016,393,38,1,1,1,20,1
59993,2016,394,49,1,1,1,14,0
59994,2016,395,25,1,1,1,16,1
59995,2016,396,25,2,1,21,18,1
59996,2016,397,26,2,2,1,16,1
59997,2016,398,34,2,1,1,18,1
59998,2016,399,34,2,1,1,16,0
59999,2016,400,36,1,2,1,16,1
60000,2016,401,59,1,1,1,11,2
60001,2016,402,49,2,1,1,13,0
60002,2016,403,45,2,1,1,14,4
60003,2016,404,34,1,2,1,12,0
60004,2016,405,44,1,5,1,16,2
60005,2016,406,66,2,1,1,12,1
60006,2016,407,53,2,1,1,12,0
60007,2016,408,59,2,7,1,20,0
60008,2016,409,43,2,1,1,16,1
60009,2016,410,44,1,1,1,18,2
60010,2016,411,68,1,1,1,19,0
60011,2016,412,37,1,1,1,20,5
60012,2016,413,37,1,1,1,15,0
60013,2016,414,48,1,1,1,18,4
60014,2016,415,34,2,2,1,12,3
60015,2016,416,25,1,2,1,12,2
60016,2016,417,44,2,1,1,13,1
60017,2016,418,63,2,2,1,10,4
60018,2016,419,26,1,2,1,12,0
60019,2016,420,64,2,2,1,14,5
60020,2016,421,21,1,1,10,13,0
60021,2016,422,31,2,2,1,10,5
60022,2016,423,27,2,1,1,12,0
60023,2016,424,53,2,1,1,20,1
60024,2016,425,70,2,1,1,18,0
60025,2016,426,53,2,1,1,16,2
60026,2016,427,59,1,1,1,18,2
60027,2016,428,47,1,1,1,18,1
60028,2016,429,27,1,2,1,10,0
60029,2016,430,52,1,16,10,10,5
60030,2016,431,26,2,6,35,11,1
60031,2016,432,24,2,1,1,12,0
60032,2016,433,25,2,3,5,11,5
60033,2016,434,44,1,16,6,6,3
60034,2016,435,29,1,1,1,13,4
60035,2016,436,57,2,1,1,16,0
60036,2016,437,61,1,1,1,13,4
60037,2016,438,66,1,1,1,14,2
60038,2016,439,48,2,2,1,11,0
